model,image url,3D Url,Icon Url,ModelCode
Cyber Truck,https://drive.google.com/thumbnail?id=1hAUWJl_AEL-3ZYtYC0Wnxlnx1VP03qH6&sz=w1000,https://sketchfab.com/models/587a0833e60f465090145b139f6c1bfc/embed,https://drive.google.com/thumbnail?id=1IFXzlUXLQVTiryPV6AJrVErRrrGBzg0F&sz=w1000,ALL
Model S,https://drive.google.com/thumbnail?id=13FewUV3GN5v6adQe0GnrKHe0K6_x5bl3&sz=w1000,https://sketchfab.com/models/d55cd7890b38470bb00a244ec6bea813/embed,https://drive.google.com/thumbnail?id=1nYSQrJYzbRJnVZ0rpik6Z8gtA56hWFN3&sz=w1000,Model S
Model X,https://drive.google.com/thumbnail?id=1tOXlx2eDuiDiwRSkAgNAYGfJNxe4ZqmZ&sz=w1000,https://sketchfab.com/models/36e9d3598c554bb69f3d9cd00e161818/embed,https://drive.google.com/thumbnail?id=1v9UqNWIE5KZ9qMkO6JZgVWyAp2extSyA&sz=w1000,Model X
Model Y,https://drive.google.com/thumbnail?id=1KZn9RVAAR2O6iLwCX62ggYCydYXhJ9BD&sz=w1000,https://sketchfab.com/models/042a34cc41a4495581af9879f60359ed/embed,https://drive.google.com/thumbnail?id=1D4QfVX_Kk2-aDLNGZ9G-VerCuS_362db&sz=w1000,Model Y
Model 3,https://drive.google.com/thumbnail?id=1QRG8K3Rt9klMRj0JXyQOuN2cNakUiWP7&sz=w1000,https://sketchfab.com/models/55daee6824b945bb94f9018197b7949d/embed,https://drive.google.com/thumbnail?id=1J0rlgICJJCaEWJoYicnOsn-wuM07xLkN&sz=w1000,Model 3
